City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
122,Gaoua,BF,76.68,broken clouds,10.2992,-3.2508,
125,Edd,ER,89.96,overcast clouds,13.9297,41.6925,
126,Kombissiri,BF,81.81,broken clouds,12.0656,-1.3375,Mitibkieta Annexe
132,Huilong,CN,83.93,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
133,Katsuura,JP,78.51,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
136,Rincon,US,80.91,scattered clouds,32.296,-81.2354,Days Inn Rincon
137,Hasaki,JP,88.2,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
139,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
140,San Policarpo,PH,82.53,few clouds,12.1791,125.5072,Agapita M. Nicart
145,San Ignacio,BZ,89.74,few clouds,17.1561,-89.0714,Rainforest Haven Inn
147,Balancan,MX,83.37,broken clouds,17.8,-91.5333,Hotel Balam Ku
153,Kuala Kedah,MY,76.98,few clouds,6.1,100.3,Artini Homestay
161,Otofuke,JP,76.15,broken clouds,42.9917,143.2003,スポーツホテル・クロス・コート
162,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
163,Hamilton,US,83.25,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
166,Bongabon,PH,83.08,few clouds,15.6321,121.1448,Hotel Weng Bongabon
170,Jarabacoa,DO,79.88,broken clouds,19.1218,-70.6422,apartamento primaveral
174,Nanakuli,US,85.98,overcast clouds,21.3906,-158.1547,Camp Pālehua
175,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
177,Butaritari,KI,82.4,light rain,3.0707,172.7902,Isles Sunset Lodge
179,Savelugu,GH,79.25,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
187,Victoria,HK,88.32,overcast clouds,22.2855,114.1577,Mini Central
190,Riverton,US,87.57,scattered clouds,40.5219,-111.9391,Ramada by Wyndham Draper
197,Katobu,ID,78.01,overcast clouds,-4.9408,122.5276,La Ode Husein
199,Ternate,ID,80.83,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
201,Cockburn Town,TC,82.15,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
202,Mancio Lima,BR,75.13,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
207,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
210,Zhezkazgan,KZ,78.82,clear sky,47.8043,67.7144,Hotel Zumrat
213,La Tuque,CA,75.45,broken clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
