City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Padang,ID,2022-04-26 20:24:11,-0.9492,100.3543,78.67,86,100,3.67
246,Shenjiamen,CN,2022-04-26 20:24:12,29.9576,122.298,57.49,97,95,11.05
247,Puerto Maldonado,PE,2022-04-26 20:24:12,-12.6,-69.1833,77.4,88,75,9.22
248,Ketchikan,US,2022-04-26 20:24:12,55.3422,-131.6461,46.87,71,75,5.75
249,Santa Rita,BR,2022-04-26 20:24:13,-7.1139,-34.9781,81.27,78,75,10.36
250,Fortuna,US,2022-04-26 20:24:13,40.5982,-124.1573,58.93,59,0,16.11
251,Ambilobe,MG,2022-04-26 20:24:14,-13.2,49.05,72.93,86,84,3.71
252,Tarut,SA,2022-04-26 20:24:14,26.5733,50.0369,79.02,47,20,3.89
253,Beloha,MG,2022-04-26 20:24:15,-25.1667,45.05,71.94,84,100,11.32
254,Alenquer,BR,2022-04-26 20:24:15,-1.9417,-54.7383,79.93,89,100,4.65
255,Carutapera,BR,2022-04-26 20:24:16,-1.195,-46.02,79.63,84,91,8.16
256,Adre,TD,2022-04-26 20:24:16,13.4667,22.2,86.14,30,100,5.68
257,Tourlaville,FR,2022-04-26 20:24:16,49.6383,-1.5664,49.42,61,0,11.5
258,Richards Bay,ZA,2022-04-26 20:24:17,-28.783,32.0377,65.7,75,99,7.78
259,Tecoanapa,MX,2022-04-26 20:24:17,16.5167,-98.75,87.64,51,12,13.35
260,Klaksvik,FO,2022-04-26 20:24:18,62.2266,-6.589,40.12,67,99,6.2
261,Ust-Nera,RU,2022-04-26 20:24:18,64.5667,143.2,11.7,96,100,5.48
262,Gamba,GA,2022-04-26 20:24:19,-2.65,10.0,78.04,89,80,5.3
263,Vradiyivka,UA,2022-04-26 20:24:19,47.862,30.5919,50.49,83,0,10.4
264,Umm Lajj,SA,2022-04-26 20:24:20,25.0213,37.2685,80.11,50,99,4.76
265,Half Moon Bay,US,2022-04-26 20:24:20,37.4636,-122.4286,70.88,63,0,21.85
266,Los Algarrobos,PA,2022-04-26 20:24:21,8.5,-82.4333,86.41,66,40,10.36
267,Kincardine,GB,2022-04-26 20:24:21,56.0667,-3.7167,48.56,74,100,4.14
268,Myaundzha,RU,2022-04-26 20:24:22,63.0494,147.1858,13.48,94,100,3.18
269,San Cristobal,VE,2022-04-26 20:24:22,7.7669,-72.225,80.78,71,96,2.46
270,Sfantu Gheorghe,RO,2022-04-26 20:24:23,45.8667,25.7833,55.27,69,95,1.88
271,Praia Da Vitoria,PT,2022-04-26 20:21:38,38.7333,-27.0667,64.65,77,40,16.64
272,Souillac,MU,2022-04-26 20:24:23,-20.5167,57.5167,75.58,88,75,10.36
273,Buraydah,SA,2022-04-26 20:25:24,26.326,43.975,81.05,40,0,17.16
274,Bonavista,CA,2022-04-26 20:25:24,48.6499,-53.1147,36.03,88,40,7.27
275,Kotovsk,UA,2022-04-26 20:25:25,47.7531,29.532,48.33,82,7,8.14
276,Myitkyina,MM,2022-04-26 20:25:25,25.3833,97.4,72.07,52,0,2.1
277,Ocampo,MX,2022-04-26 20:25:25,21.65,-101.5,71.82,38,9,12.28
278,Anori,BR,2022-04-26 20:25:26,-3.7728,-61.6442,84.45,74,100,1.41
279,Gazojak,TM,2022-04-26 20:25:26,41.1875,61.4036,66.97,27,100,11.01
280,Grand Gaube,MU,2022-04-26 20:25:27,-20.0064,57.6608,76.37,76,9,3.0
281,Reims,FR,2022-04-26 20:25:27,49.1667,4.0833,49.78,76,0,6.91
282,Carmelo,UY,2022-04-26 20:25:27,-33.9892,-58.2856,71.78,91,100,13.22
283,Gondomar,PT,2022-04-26 20:25:28,41.1445,-8.5322,58.44,86,75,8.05
284,Lata,PT,2022-04-26 20:25:29,40.1629,-8.3327,51.53,94,2,1.28
285,Narsaq,GL,2022-04-26 20:25:29,60.9167,-46.05,43.02,74,99,0.85
286,Yamandu,SL,2022-04-26 20:25:30,7.9362,-11.4928,80.69,75,4,5.79
287,Merauke,ID,2022-04-26 20:25:07,-8.4667,140.3333,77.61,85,100,3.96
288,Nanae,JP,2022-04-26 20:25:30,41.8833,140.6833,52.84,98,100,7.31
289,Ilhabela,BR,2022-04-26 20:25:31,-23.7781,-45.3581,76.77,83,72,4.7
290,San Quintin,MX,2022-04-26 20:25:31,30.4833,-115.95,68.77,59,100,12.97
291,Port-Gentil,GA,2022-04-26 20:25:32,-0.7193,8.7815,80.56,94,40,6.91
292,Campobasso,IT,2022-04-26 20:25:32,41.6333,14.5833,57.94,90,1,4.63
293,Khandbari,NP,2022-04-26 20:25:33,27.3747,87.2039,68.04,54,25,4.47
