City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Kaeo,NZ,-35.1,173.7833,64.33,92,100,7.9,overcast clouds
273,Bethel,US,41.3712,-73.414,77.09,76,0,6.91,clear sky
274,Umm Lajj,SA,25.0213,37.2685,85.35,41,2,9.37,clear sky
275,Nishihara,JP,26.1842,127.7558,87.08,79,75,12.66,broken clouds
276,Banda Aceh,ID,5.5577,95.3222,79.3,77,100,12.17,overcast clouds
277,Charters Towers,AU,-20.1,146.2667,67.21,60,62,13.44,broken clouds
278,Maryville,US,35.7565,-83.9705,86.25,77,40,8.05,scattered clouds
279,College,US,64.8569,-147.8028,75.0,41,75,6.91,smoke
280,Ulaangom,MN,49.9811,92.0667,67.93,49,39,8.79,scattered clouds
281,Phalombe,MW,-15.8064,35.6507,59.32,76,64,3.2,broken clouds
282,Krasnyy Kut,RU,50.95,46.9667,58.98,93,100,10.07,overcast clouds
283,Riachao Das Neves,BR,-11.7461,-44.91,72.73,45,46,0.89,scattered clouds
284,Tobe,JP,33.7447,132.7901,85.1,70,40,3.44,scattered clouds
285,Les Cayes,HT,18.2,-73.75,79.56,82,92,4.85,overcast clouds
286,Zhangye,CN,38.9342,100.4517,82.65,18,100,21.16,overcast clouds
287,Bartica,GY,6.4,-58.6167,79.12,99,60,2.98,broken clouds
288,Alugan,PH,12.2188,125.4808,82.94,76,28,1.03,scattered clouds
289,Svetlaya,RU,46.5389,138.3297,54.52,98,100,7.61,overcast clouds
290,Ipora,BR,-16.4419,-51.1178,69.44,41,0,4.12,clear sky
291,Eureka,US,40.8021,-124.1637,67.19,63,13,4.0,few clouds
292,Puerto Leguizamo,CO,-0.1934,-74.7819,71.49,98,94,2.55,overcast clouds
293,Skibbereen,IE,51.55,-9.2667,50.11,83,100,17.74,overcast clouds
294,Bilma,NE,18.6853,12.9164,89.26,13,61,4.16,broken clouds
295,Meulaboh,ID,4.1363,96.1285,74.57,81,93,4.54,overcast clouds
296,Jojoima,SL,7.8792,-10.7878,71.01,99,100,2.33,moderate rain
297,Husavik,IS,66.0449,-17.3389,41.05,86,99,9.8,overcast clouds
298,Springdale,US,36.1867,-94.1288,93.54,62,20,8.05,few clouds
299,Mareeba,AU,-17.0,145.4333,75.43,68,16,6.38,few clouds
300,Pimentel,PE,-6.8367,-79.9342,62.67,82,51,13.06,broken clouds
301,Santiago Del Estero,AR,-27.7951,-64.2615,53.17,59,100,12.01,overcast clouds
302,Palmer,US,42.1584,-72.3287,78.4,66,20,0.0,few clouds
303,Vaulx-En-Velin,FR,45.7833,4.9333,65.21,85,0,3.44,clear sky
